x,y,z
-0.287097,-0.957902,54.25
-0.190032,-0.981778,54.5
-0.0910686,-0.995845,54.75
0.00880498,-0.999961,55
0.108591,-0.994087,55.25
0.207291,-0.978279,55.5
0.30392,-0.952697,55.75
0.397513,-0.917596,56
0.487134,-0.873327,56.25
0.571888,-0.820332,56.5
0.650927,-0.75914,56.75
0.723463,-0.690363,57
0.78877,-0.614689,57.25
0.846196,-0.532872,57.5
0.895167,-0.445731,57.75
0.935194,-0.354137,58
0.965876,-0.259004,58.25
0.986908,-0.161284,58.5
0.998079,-0.0619515,58.75
0.999278,0.0379996,59
0.990492,0.137571,59.25
0.971809,0.235768,59.5
0.943417,0.331609,59.75
0.905598,0.424137,60
0.858731,0.512427,60.25
0.803283,0.595597,60.5
0.73981,0.672816,60.75
0.668944,0.743313,61
0.591395,0.806382,61.25
0.507936,0.861395,61.5
0.419403,0.9078,61.75
0.326679,0.945135,62
0.230691,0.973027,62.25
0.132398,0.991197,62.5
0.0327817,0.999463,62.75
-0.0671619,0.997742,63
-0.166434,0.986053,63.25
-0.264044,0.964511,63.5
-0.359015,0.933332,63.75
-0.450399,0.892827,64
-0.537283,0.843402,64.25
-0.618799,0.78555,64.5
-0.694131,0.719848,64.75
-0.762528,0.646955,65
-0.823307,0.567597,65.25
-0.875859,0.482568,65.5
-0.919659,0.392717,65.75
-0.954271,0.298942,66
-0.979348,0.20218,66.25
-0.99464,0.103399,66.5
-0.999994,0.00358387,66.75
-0.995356,-0.0962668,67
-0.980772,-0.195156,67.25
-0.956389,-0.292095,67.5
-0.922451,-0.386115,67.75
-0.879295,-0.476277,68
-0.827354,-0.561681,68.25
-0.767146,-0.641472,68.5
-0.699273,-0.714855,68.75
-0.624413,-0.781094,69
-0.543315,-0.839529,69.25
-0.456787,-0.889576,69.5
-0.365696,-0.930734,69.75
-0.27095,-0.962593,70
-0.173498,-0.984834,70.25
-0.0743116,-0.997235,70.5
0.025617,-0.999672,70.75
0.12529,-0.99212,71
0.22371,-0.974656,71.25
0.319896,-0.947453,71.5
0.412885,-0.910783,71.75
0.501749,-0.865013,72
0.5856,-0.8106,72.25
0.663599,-0.748088,72.5
0.734968,-0.678102,72.75
0.798994,-0.601339,73
0.855036,-0.518569,73.25
0.902535,-0.430617,73.5
0.941016,-0.338363,73.75
0.970094,-0.242728,74
0.98948,-0.144667,74.25
0.99898,-0.0451612,74.5
0.998498,0.054796,74.75
0.988039,0.154206,75
0.967708,0.252075,75.25
0.937708,0.347425,75.5
0.898339,0.439304,75.75
0.849993,0.526793,76
0.793155,0.609019,76.25
0.728393,0.68516,76.5
0.656352,0.754455,76.75
0.577753,0.816212,77
0.493381,0.869813,77.25
0.40408,0.914724,77.5
0.310741,0.950495,77.75
0.214298,0.976768,78
0.115713,0.993283,78.25
0.0159722,0.999872,78.5
-0.0839283,0.996472,78.75
-0.18299,0.983115,79
-0.280224,0.959935,79.25
-0.374657,0.927163,79.5
-0.465347,0.885128,79.75
-0.551388,0.834249,80
-0.631919,0.775034,80.25
-0.706137,0.708076,80.5
-0.773299,0.634042,80.75
-0.832734,0.553674,81
-0.883849,0.467773,81.25
-0.926133,0.377198,81.5
-0.959163,0.282855,81.75
-0.982609,0.185685,82
-0.996238,0.0866604,82.25
-0.999912,-0.0132304,82.5
-0.993596,-0.112989,82.75
-0.977352,-0.211619,83
-0.951343,-0.308134,83.25
-0.915828,-0.40157,83.5
-0.871163,-0.490994,83.75
-0.817793,-0.575513,84
-0.756252,-0.65428,84.25
-0.687155,-0.726511,84.5
-0.611192,-0.791483,84.75
-0.529122,-0.848546,85
-0.441765,-0.897131,85.25
-0.349995,-0.936752,85.5
-0.254727,-0.967013,85.75
-0.156914,-0.987612,86
-0.0575337,-0.998344,86.25
0.0424217,-0.9991,86.5
0.141953,-0.989873,86.75
0.240067,-0.970756,87
0.335781,-0.94194,87.25
0.428141,-0.903712,87.5
0.516223,-0.856454,87.75
0.599146,-0.80064,88
0.676084,-0.736825,88.25
0.746266,-0.665648,88.5
0.808992,-0.58782,88.75
0.863634,-0.504119,89
0.909647,-0.415381,89.25
0.946572,-0.322493,89.5
0.974039,-0.226382,89.75
0.991773,-0.12801,90
0.999598,-0.028358,90.25
0.997435,0.0715769,90.5
0.985306,0.170797,90.75
0.963333,0.26831,91
0.931734,0.363142,91.25
0.890825,0.454346,91.5
0.841016,0.54101,91.75
0.782803,0.622269,92
0.716769,0.69731,92.25
0.643574,0.765384,92.5
0.563947,0.825811,92.75
0.478687,0.877986,93
0.388643,0.921388,93.25
0.294716,0.955585,93.5
0.197844,0.980233,93.75
0.0989958,0.995088,94
-0.00084183,1,94.25
-0.100671,0.99492,94.5
-0.199494,0.979899,94.75
-0.296324,0.955087,95
-0.390194,0.920733,95.25
-0.480164,0.877179,95.5
-0.565337,0.82486,95.75
-0.644861,0.7643,96
-0.717942,0.696103,96.25
-0.78385,0.62095,96.5
-0.841926,0.539594,96.75
-0.891589,0.452846,97
-0.932344,0.361573,97.25
-0.963783,0.266688,97.5
-0.985592,0.169138,97.75
-0.997554,0.0698975,98
-0.999549,-0.030041,98.25
-0.991556,-0.129679,98.5
-0.973656,-0.228022,98.75
-0.946028,-0.324086,99
-0.908947,-0.416912,99.25
-0.862784,-0.505573,99.5
-0.808001,-0.589182,99.75
